# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
20:12:03                  0.0           35
20:12:08                 17.4          398
20:12:13                  6.1          399
20:12:18                  6.5          400
20:12:23                  6.2          401
20:12:28                  6.1          401
20:12:33                  6.1          402
20:12:38                  7.2          416
20:12:43                  9.0          418
20:12:48                  6.9          418
20:12:53                  6.6          419
20:12:58                  7.0          419
20:13:03                  7.1          419
20:13:08                  7.5          419
20:13:13                  7.2          419
20:13:18                  7.3          419
20:13:23                  7.6          419
20:13:28                  6.8          419
20:13:34                  3.6          419
20:13:39                  5.3          419
20:13:44                  4.8          419
20:13:49                  4.4          419
20:13:54                  5.0          419
20:13:59                  4.3          419
20:14:04                  4.6          419
20:14:09                  5.3          419
20:14:14                  4.5          419
20:14:19                  4.5          419
20:14:24                  4.5          419
20:14:29                  4.1          419
20:14:34                  4.3          419
20:14:39                  4.7          419
20:14:44                  3.9          419
20:14:49                  4.9          419
20:14:54                  4.7          419
20:14:59                  5.2          419
20:15:04                  4.2          419
20:15:09                  4.3          419
20:15:14                  4.7          419
20:15:19                  5.4          419
20:15:24                  7.4          419
20:15:29                  7.4          419
20:15:34                  7.0          419
20:15:39                  7.3          419
20:15:44                  6.9          419
20:15:49                  9.0          419
20:15:54                 12.3          419
20:15:59                 10.4          420
20:16:04                 14.6          420
20:16:09                  7.5          420
20:16:15                  7.4          420
20:16:20                  0.3          420
20:16:25                  0.7          420
20:16:30                  1.0          420
20:16:35                  1.2          420
20:16:40                  0.7          420
20:16:45                  0.9          420
20:16:50                  1.0          420
20:16:55                  0.0          420
20:17:00                  0.4          420
20:17:05                  0.4          420
20:17:10                  0.6          420
20:17:15                  0.1          421
20:17:20                  0.4          422
20:17:25                  0.1          422
20:17:30                  0.3          422
20:17:35                  0.3          422
20:17:40                  0.1          422
20:17:45                  0.3          422
20:17:50                  0.1          422
20:17:56                  0.0          422
20:18:01                  0.1          422
20:18:06                  0.0          422
20:18:11                  0.2          422
20:18:16                  0.1          422
20:18:21                  0.1          422
20:18:26                  0.1          422
20:18:31                  0.1          423
20:18:36                  0.0          424
20:18:41                  0.0          424
20:18:46                  1.3          425
20:18:51                  1.7          426
20:18:56                  1.5          427
20:19:01                  1.3          427
