# timestamp=sample time  cpu%=% of one core (may exceed 100)  mem_MiB=container resident memory
timestamp                cpu%      mem_MiB
20:12:04                 0.07         23.5
20:12:11               409.25        452.0
20:12:18               429.37        556.6
20:12:24               465.45        643.7
20:12:31               514.20        700.5
20:12:37               675.57        782.2
20:12:44               642.88        842.9
20:12:50               737.48        884.7
20:12:57               762.41        923.7
20:13:04               828.14        952.3
20:13:10               823.46        987.1
20:13:17               859.29       1003.0
20:13:23               881.12       1004.0
20:13:30                16.66       1025.0
20:13:37                17.62       1025.0
20:13:43                17.42       1025.0
20:13:50                18.63       1025.0
20:13:56                18.23       1025.0
20:14:03                18.95       1024.0
20:14:09                81.84       1004.0
20:14:16                19.19       1004.0
20:14:23                17.82       1004.0
20:14:29                19.01       1004.0
20:14:36                18.25       1004.0
20:14:42                16.97       1004.0
20:14:49                17.88       1004.0
20:14:55                13.87       1004.0
20:15:02                18.55        988.0
20:15:09                17.20        988.0
20:15:15                18.34        988.6
20:15:22                17.02        988.1
20:15:28                19.39        988.9
20:15:35                16.74        987.8
20:15:41                16.15        988.0
20:15:48                16.28        988.3
20:15:55                16.75        952.5
20:16:01                20.59        952.7
20:16:08                19.48        952.4
20:16:14                18.53        952.4
20:16:21                 0.14        952.3
20:16:28                 0.18        951.8
20:16:34                 0.20        951.6
20:16:41                 0.13        951.5
20:16:47                 0.23        951.5
20:16:54                 0.10        951.5
20:17:01                 0.16        951.8
20:17:07                 0.18        952.0
20:17:14                 0.22        952.2
20:17:21                 0.17        951.7
20:17:27                 0.16        951.7
20:17:34                 0.13        951.7
20:17:40                 0.12        951.7
20:17:47                 0.19        951.7
20:17:54                 0.22        941.3
20:18:00                 0.19        941.3
20:18:07                 0.24        945.1
20:18:14                 0.19        945.1
20:18:20                 0.13        946.8
20:18:27                 0.21        949.4
20:18:33                 0.18        949.7
20:18:40                 0.20        951.7
20:18:47                 0.20        956.4
20:18:53                 0.18        956.4
20:19:00                 0.13        958.5
