# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
21:01:55                  0.3           34
21:02:00                  0.0           39
21:02:05                313.4          535
21:02:10                340.3          986
21:02:15                  6.8         1461
21:02:20                  7.1         1475
21:02:25                  6.0         1483
21:02:30                  6.7         1483
21:02:35                  5.6         1483
21:02:40                  6.1         1256
21:02:45                  5.4         1256
21:02:50                  5.2         1256
21:02:55                  6.9         1252
21:03:00                  4.3         1253
21:03:05                  4.2         1253
21:03:10                  3.9         1253
21:03:15                  4.7         1253
21:03:20                  4.4         1253
21:03:25                  3.9         1253
21:03:30                  4.2         1248
21:03:35                  4.0         1229
21:03:40                  4.0         1230
21:03:45                  3.9         1230
21:03:50                  3.9         1230
21:03:55                  3.5         1230
21:04:01                  3.9         1230
21:04:06                  3.4         1229
21:04:11                  3.5         1229
21:04:16                  5.6         1229
21:04:21                  5.7         1229
21:04:26                  5.2         1230
21:04:31                  5.4         1231
21:04:36                  4.3         1231
21:04:41                  4.7         1231
21:04:46                  5.3         1231
21:04:51                  5.1         1231
21:04:56                  4.8         1231
21:05:01                  4.6         1231
21:05:06                  4.7         1231
21:05:11                  4.6         1231
21:05:16                  9.4         1231
21:05:21                  8.6         1231
21:05:26                  7.8         1231
21:05:31                  7.8         1231
21:05:36                  9.0         1231
21:05:41                  8.8         1231
21:05:46                  9.8         1231
21:05:51                 13.2         1231
21:05:57                 15.8         1231
21:06:02                  8.4         1231
21:06:07                  7.9         1231
21:06:12                  8.9         1233
21:06:17                  8.6         1233
21:06:22                  8.4         1233
21:06:27                  8.0         1234
21:06:32                  8.3         1234
21:06:37                  8.1         1234
21:06:42                  8.4         1234
21:06:47                  8.5         1234
21:06:52                  7.7         1234
21:06:57                  7.8         1234
21:07:02                  8.5         1234
21:07:07                  9.0         1232
21:07:12                  7.8         1240
21:07:17                  8.7         1247
21:07:22                  9.5         1249
21:07:27                 11.4         1250
21:07:32                 10.2         1250
21:07:38                  9.6         1250
21:07:43                  8.4         1250
21:07:48                  9.5         1250
21:07:53                  8.7         1250
21:07:58                  9.0         1250
21:08:03                  8.5         1250
21:08:08                  9.1         1250
21:08:13                  9.1         1250
21:08:18                  8.0         1250
21:08:23                  8.1         1250
21:08:28                  9.3         1250
21:08:33                  8.5         1250
21:08:38                  8.6         1250
21:08:43                  9.5         1250
21:08:48                 11.7         1250
21:08:54                 12.5         1250
21:08:59                 17.1         1250
21:09:04                  7.2         1250
21:09:09                  8.5         1250
21:09:14                  8.2         1250
21:09:19                  7.6         1250
21:09:24                  8.9         1251
21:09:29                 10.5         1251
21:09:34                  8.2         1251
21:09:39                  8.3         1251
21:09:44                  9.3         1251
21:09:49                  9.8         1251
21:09:54                 10.4         1251
21:09:59                 14.0         1251
21:10:04                 13.5         1251
21:10:09                  8.8         1251
21:10:14                  8.5         1251
21:10:20                  7.5         1251
21:10:25                  8.2         1251
21:10:30                  9.3         1251
21:10:35                  8.9         1251
21:10:40                  8.3         1251
21:10:45                  8.4         1251
21:10:50                  8.9         1251
21:10:55                  8.5         1251
21:11:00                  8.3         1251
21:11:05                  8.1         1251
21:11:10                  7.8         1251
21:11:15                  8.0         1251
21:11:20                  8.7         1252
21:11:25                 19.3         1252
21:11:30                  8.7         1252
21:11:36                  7.2         1252
21:11:41                  9.3         1252
21:11:46                  8.2         1252
21:11:51                 10.1         1252
21:11:56                 10.5         1252
21:12:01                 13.3         1252
21:12:06                 17.5         1252
