# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:02:15                  7.9          439
12:02:20                749.8         1844
12:02:27                868.0         3119
12:02:34                905.8         3939
12:02:42                846.7         4013
12:02:48               1015.1         4136
12:02:54               1090.6         4211
12:03:00                953.5         4428
12:03:07                948.4         4759
12:03:13                731.2         4947
12:03:21                801.6         5139
12:03:27                803.9         5269
12:03:34                856.9         5402
12:03:41                819.5         5529
12:03:48                772.1         5804
12:03:55                767.5         5880
12:04:00                776.7         5959
12:04:05                812.5         5971
12:04:11                820.2         6008
12:04:16                767.7         6035
12:04:21                782.3         6045
