# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:02:15                  1.8           48
12:02:20                 75.4           94
12:02:27                 59.2          122
12:02:34                 39.7          145
12:02:42                 37.3          157
12:02:48                 45.5          167
12:02:54                 44.0          179
12:03:00                 44.9          193
12:03:07                 36.8          208
12:03:13                 51.2          224
12:03:21                 49.8          244
12:03:27                 40.0          260
12:03:34                 39.3          275
12:03:41                 33.1          293
12:03:48                 35.2          299
12:03:55                 32.8          313
12:04:00                 35.0          328
12:04:05                 34.7          338
12:04:11                 32.6          350
12:04:16                 42.8          360
12:04:21                 29.9          369
