# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:02:15                  0.0           56
12:02:20                 96.7          381
12:02:27                 57.7          506
12:02:34                 53.2          662
12:02:42                 46.1          711
12:02:48                143.0          797
12:02:54                 46.9          836
12:03:00                 76.5          868
12:03:07                 59.3          882
12:03:13                 46.9          938
12:03:21                 53.4          939
12:03:27                 44.9          939
12:03:34                 27.6          937
12:03:41                 48.9          966
12:03:48                 53.3          991
12:03:55                 18.9          997
12:04:00                 11.4          999
12:04:05                 11.8         1001
12:04:11                 11.8         1006
12:04:16                 10.4         1020
12:04:21                 10.0         1021
