# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:02:15                  0.0           50
12:02:20                 57.4          211
12:02:27                260.2          646
12:02:34                309.1          687
12:02:42                339.7          688
12:02:48                305.7          688
12:02:54                363.1          688
12:03:00                307.0          691
12:03:07                298.2          708
12:03:13                216.7          708
12:03:21                304.3          708
12:03:27                311.8          728
12:03:34                331.9          730
12:03:41                252.7          748
12:03:48                299.4          767
12:03:55                414.8          767
12:04:00                566.5          768
12:04:05                593.7          768
12:04:11                613.4          769
12:04:16                559.1          769
12:04:21                607.3          769
