# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:37:07                  0.0           45
12:37:12                  0.0           45
12:37:17                121.1          189
12:37:23                 67.4          317
12:37:30                 18.5          416
12:37:36                 15.4          489
12:37:42                 20.9          505
12:37:48                 53.9          792
12:37:55                111.5         1009
12:38:03                 15.7         1035
12:38:10                 24.0          690
12:38:18                 48.9          518
12:38:26                108.3         1055
12:38:34                 65.6         1057
12:38:40                 76.0         1158
12:38:48                 62.9          412
12:38:57                 50.2          852
12:39:05                 20.0          874
12:39:13                 22.3          407
12:39:24                 72.3          435
12:39:33                 26.3         1109
12:39:45                143.3         1200
12:39:55                 27.5          498
12:40:08                 28.1          485
12:40:15                 35.9          506
12:40:23                 23.6         1058
12:40:30                163.1         1219
12:40:40                 32.2          817
12:40:48                 28.1          495
12:40:55                252.2         1328
12:41:06                 25.2          313
12:41:16                173.5         1306
12:41:26                 28.2          322
12:41:35                 23.5          170
12:41:46                 29.3          214
12:41:57                 45.9          745
12:42:07                 79.7          576
12:42:19                 54.4          451
12:42:31                 77.5         1470
12:42:43                 34.8          358
12:42:55                 96.2          531
12:43:03                 19.3          168
12:43:14                 35.3          292
12:43:23                 17.8          243
12:43:32                 33.1          308
12:43:42                 18.9          208
12:43:53                 64.3         1479
12:44:04                 28.3          235
12:44:15                 25.9          182
12:44:25                251.3         1418
12:44:34                 47.9          462
12:44:44                 84.0         1503
12:44:59                117.7          777
12:45:14                 72.8          629
12:45:26                 52.1          516
12:45:39                 50.7          547
12:45:52                176.5         1322
12:46:05                 41.9          403
12:46:17                 37.4          571
12:46:28                 11.2           96
12:46:41                 58.2          969
12:46:52                 41.8          380
12:47:04                123.8          846
12:47:14                137.0         1644
12:47:28                 71.5          881
12:47:41                152.1         1742
12:47:52                 58.4          782
12:48:04                 51.0          374
12:48:17                 71.3         1413
12:48:27                 71.1         1635
12:48:39                 61.5          486
12:48:50                 52.2          832
12:49:02                 18.9          226
