# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
20:43:41                  1.0           35
20:43:46                  0.0           39
20:43:51                335.4          366
20:43:56                  7.6          717
20:44:01                  7.0          717
20:44:06                  8.1          717
20:44:11                  6.6          717
20:44:16                  7.3          718
20:44:21                  6.9          718
20:44:27                  9.7          718
20:44:32                  7.2          719
20:44:37                  9.6          719
20:44:42                  7.4          720
20:44:47                  9.4          722
20:44:52                  8.4          739
20:44:57                  8.6          756
20:45:02                  7.6          774
20:45:07                  4.4          790
20:45:12                  9.6          809
20:45:17                 10.3          827
20:45:22                  6.9          844
20:45:27                  8.4          861
20:45:32                  8.8          878
20:45:37                  9.1          882
20:45:42                 10.6          883
20:45:47                 14.7          883
20:45:53                 12.6          883
20:45:58                  9.2          883
20:46:03                  9.1          883
20:46:08                  9.6          883
20:46:13                  9.1          883
20:46:18                  9.5          883
20:46:23                  8.5          883
20:46:28                  9.0          883
20:46:33                  9.2          883
20:46:38                  8.5          883
20:46:43                  8.4          883
20:46:48                  8.7          883
20:46:54                  8.9          883
20:46:59                  8.6          883
20:47:04                  8.9          883
20:47:09                 10.6          883
20:47:14                  9.2          883
20:47:19                  8.5          884
20:47:24                 10.3          884
20:47:29                 10.4          884
20:47:34                  9.1          884
20:47:39                  8.2          884
20:47:44                  8.7          884
20:47:50                  8.9          884
20:47:55                  8.2          884
20:48:00                  9.5          884
20:48:05                  8.5          884
20:48:10                  8.9          884
20:48:15                  8.2          884
20:48:20                  7.9          884
20:48:25                  8.7          884
20:48:30                  9.6          884
20:48:35                 11.0          884
20:48:40                 11.6          884
20:48:45                  8.3          884
20:48:50                  8.5          884
20:48:55                  8.8          884
20:49:00                  8.3          884
20:49:06                  6.5          884
20:49:11                  7.7          884
20:49:16                  7.6          884
20:49:21                  6.8          884
20:49:26                  6.7          884
20:49:31                  7.1          884
20:49:36                  8.3          884
20:49:41                  9.7          884
20:49:46                  8.7          884
20:49:51                 10.3          886
20:49:56                 10.1          888
20:50:01                  9.1          891
20:50:06                  8.4          892
20:50:11                  8.0          896
20:50:16                  9.4          899
20:50:21                  8.2          901
20:50:26                  8.3          901
20:50:31                  8.5          901
20:50:36                  7.9          901
20:50:41                  7.9          901
20:50:46                  8.6          901
20:50:51                  7.8          901
20:50:56                  7.7          901
20:51:01                  7.7          901
20:51:07                  8.4          901
20:51:12                  8.6          901
20:51:17                  9.2          901
20:51:22                  8.7          901
20:51:27                  8.1          901
20:51:32                 10.1          901
20:51:37                  9.4          901
20:51:42                  8.8          901
20:51:47                  9.2          901
20:51:52                  7.5          901
20:51:57                  8.5          901
20:52:02                  8.7          901
20:52:07                  7.8          901
20:52:12                  1.1          901
20:52:17                  1.4          901
20:52:22                  1.3          901
20:52:27                  1.6          901
20:52:32                  1.5          901
20:52:37                  2.3          901
20:52:43                  1.9          901
20:52:48                  2.9          901
20:52:53                  1.7          901
20:52:58                  2.5          901
20:53:03                  5.2          901
20:53:08                  5.5          901
20:53:13                  9.0          901
20:53:18                  0.6          901
20:53:23                  0.6          901
20:53:28                 15.5          901
20:53:33                  0.7          901
20:53:38                  0.6          901
