# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:02:15                  6.1          240
12:02:20                438.5          923
12:02:27                386.9         1545
12:02:34                364.1         2123
12:02:42                281.9         2123
12:02:48                346.1         2124
12:02:54                438.6         2131
12:03:00                386.8         2272
12:03:07                372.8         2538
12:03:13                278.5         2645
12:03:21                292.3         2790
12:03:27                254.1         2856
12:03:34                293.4         2973
12:03:41                303.5         3017
12:03:48                307.2         3240
12:03:55                199.8         3274
12:04:00                122.5         3301
12:04:05                129.0         3302
12:04:11                125.5         3302
12:04:16                111.2         3303
12:04:21                103.1         3304
