# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:02:15                  0.0           46
12:02:20                 81.8          235
12:02:27                104.0          300
12:02:34                139.7          322
12:02:42                141.7          334
12:02:48                174.8          361
12:02:54                198.0          377
12:03:00                138.3          405
12:03:07                181.3          423
12:03:13                137.9          432
12:03:21                101.8          459
12:03:27                153.1          486
12:03:34                164.7          486
12:03:41                181.3          505
12:03:48                 77.0          507
12:03:55                101.2          527
12:04:00                 41.3          562
12:04:05                 43.3          563
12:04:11                 36.9          581
12:04:16                 44.2          583
12:04:21                 32.0          583
