# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:37:07                  6.3          439
12:37:12                  0.3          483
12:37:17                812.4         1250
12:37:23                571.6         2444
12:37:30                810.7         3543
12:37:36                796.8         4712
12:37:42                777.0         6426
12:37:48                874.5         7964
12:37:55                675.8         9246
12:38:03                722.1        10369
12:38:10               1150.7        11490
12:38:18                790.1        10129
12:38:26                727.1        10537
12:38:34                938.4        11030
12:38:40                727.5        10895
12:38:48                572.5         9252
12:38:57                831.0        10480
12:39:05                635.8        10352
12:39:13                512.8         9847
12:39:24                621.1         9633
12:39:33                678.0         9660
12:39:45               1068.9        10921
12:39:55                749.6         8996
12:40:08                639.8         9510
12:40:15                584.1        10248
12:40:23                658.4        10521
12:40:30                897.8        11742
12:40:40                648.8         9784
12:40:48                594.2         9983
12:40:55                775.6        10597
12:41:06                504.8        10546
12:41:16                639.7        11144
12:41:26                529.7         9366
12:41:35                776.6        10306
12:41:46                591.0         9585
12:41:57                480.8         9725
12:42:07                598.3         8479
12:42:19                523.7         9544
12:42:31                506.6        11288
12:42:43                788.0         9610
12:42:55                834.3        11027
12:43:03                671.5         9727
12:43:14                651.6         9389
12:43:23                605.4        10210
12:43:32                855.0        11071
12:43:42                595.0         9420
12:43:53                592.4         9264
12:44:04                726.3        11479
12:44:15                641.1         8517
12:44:25                673.9         9930
12:44:34                660.2         9670
12:44:44                678.5        11129
12:44:59                462.9         8132
12:45:14                621.8         9557
12:45:26                423.1         8197
12:45:39                456.7         9021
12:45:52                719.6         9551
12:46:05                597.2         9433
12:46:17                501.0         7566
12:46:28                559.9         8483
12:46:41                532.3         9115
12:46:52                621.6         9060
12:47:04                635.0         9841
12:47:14                534.5         8718
12:47:28                705.5         9718
12:47:41                573.0        10585
12:47:52                573.7         8727
12:48:04                565.3        10161
12:48:17                579.0         9373
12:48:27                734.0        10551
12:48:39                709.9        11247
12:48:50                452.8         8604
12:49:02                523.2         9455
