# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:37:07                  1.5           48
12:37:12                  0.0           50
12:37:17                 78.8           86
12:37:23                 48.0          107
12:37:30                 65.4          132
12:37:36                 78.2          157
12:37:42                 64.9          190
12:37:48                 62.2          199
12:37:55                 47.4          225
12:38:03                 72.2          245
12:38:10                 59.4          269
12:38:18                 37.5          279
12:38:26                 39.1          298
12:38:34                 36.2          317
12:38:40                 32.5          331
12:38:48                 11.3          288
12:38:57                 29.4          358
12:39:05                 20.6          365
12:39:13                 32.6          375
12:39:24                 42.4          390
12:39:33                 21.4          366
12:39:45                 32.7          408
12:39:55                 62.4          427
12:40:08                 37.0          435
12:40:15                 42.0          415
12:40:23                 39.2          455
12:40:30                 23.8          445
12:40:40                 32.8          466
12:40:48                 38.3          471
12:40:55                 34.0          476
12:41:06                 65.8          506
12:41:16                 41.8          512
12:41:26                 35.0          524
12:41:35                 29.0          525
12:41:46                 32.2          567
12:41:57                 13.6          526
12:42:07                 34.8          586
12:42:19                 15.9          575
12:42:31                 33.3          633
12:42:43                 18.1          581
12:42:55                 31.7          647
12:43:03                 21.1          624
12:43:14                 67.9          668
12:43:23                 22.3          657
12:43:32                 63.1          698
12:43:42                 17.3          651
12:43:53                 35.0          772
12:44:04                 19.6          752
12:44:15                 33.5          789
12:44:25                 27.5          756
12:44:34                 51.4          833
12:44:44                 20.8          770
12:44:59                 19.2          790
12:45:14                 16.0          751
12:45:26                 34.1          820
12:45:39                 26.4          806
12:45:52                 31.3          850
12:46:05                 14.3          771
12:46:17                 25.7          792
12:46:28                 28.8          759
12:46:41                 53.2          834
12:46:52                 45.2          850
12:47:04                 60.4          864
12:47:14                 40.6          829
12:47:28                 40.0          841
12:47:41                 49.0          854
12:47:52                 39.1          882
12:48:04                 28.9          840
12:48:17                 28.6          871
12:48:27                 80.0          886
12:48:39                 32.9          874
12:48:50                 42.7          926
12:49:02                 32.6          854
