# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:37:07                  0.0           57
12:37:12                  0.1           92
12:37:17                110.0          221
12:37:23                 53.5          410
12:37:30                120.7          618
12:37:36                103.8          866
12:37:42                 57.3         1248
12:37:48                 77.7         1475
12:37:55                 54.1         1655
12:38:03                 72.0         1817
12:38:10                269.7         2136
12:38:18                 56.6          464
12:38:26                 64.5         1154
12:38:34                 53.5          970
12:38:40                111.9         2548
12:38:48                 44.8         1918
12:38:57                 38.7          814
12:39:05                 54.4         2696
12:39:13                 28.6         2352
12:39:24                 32.9          849
12:39:33                 54.3         1303
12:39:45                 66.7          853
12:39:55                 41.2          768
12:40:08                 60.9         1052
12:40:15                 30.4         1744
12:40:23                 67.2          988
12:40:30                172.6         2889
12:40:40                 60.0          694
12:40:48                 66.0         1733
12:40:55                 34.6          752
12:41:06                 95.2         3014
12:41:16                 57.4         1689
12:41:26                 71.5         2656
12:41:35                140.6         1419
12:41:46                 97.4         2020
12:41:57                115.0         2703
12:42:07                 45.8         1464
12:42:19                 27.8         1704
12:42:31                 84.8         2717
12:42:43                 46.4          991
12:42:55                327.6         3014
12:43:03                241.4         2178
12:43:14                 66.5         2587
12:43:23                 83.0         1182
12:43:32                195.0         2998
12:43:42                 80.2         1280
12:43:53                 97.0         1352
12:44:04                259.2         2672
12:44:15                 75.1         2297
12:44:25                 88.7         1819
12:44:34                 41.6         1487
12:44:44                 60.2          806
12:44:59                 68.9         2258
12:45:14                 68.5         1439
12:45:26                 32.0          745
12:45:39                 60.7         1200
12:45:52                 51.3          790
12:46:05                 68.3          999
12:46:17                 77.6         1261
12:46:28                 74.9          980
12:46:41                114.4         1712
12:46:52                 33.0          563
12:47:04                106.8         1673
12:47:14                 60.5         1403
12:47:28                222.3         2776
12:47:41                 11.7          573
12:47:52                 59.8         1253
12:48:04                 41.2          661
12:48:17                 46.8         1335
12:48:27                 57.5         1053
12:48:39                230.6         2434
12:48:50                 98.7         1120
12:49:02                 17.7          524
