# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
11:04:46                 37.6           65
11:04:51                  570          270
11:04:56                  519          291
11:05:01                  357          291
11:05:06                  274          291
11:05:11                  223          290
11:05:16                  189          290
11:05:21                  164          290
11:05:26                  145          268
11:05:31                  130          268
11:05:36                  119          268
11:05:41                  108          268
11:05:46                 99.4          268
11:05:51                 91.9          268
11:05:56                 85.4          268
11:06:01                 79.7          268
11:06:06                 74.8          268
11:06:11                 70.4          268
11:06:16                 66.5          268
11:06:21                 63.1          268
11:06:26                 59.9          268
11:06:31                 57.1          268
11:06:36                 54.5          268
11:06:41                 52.2          268
