# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
11:08:47                 44.6          112
11:08:52                557.1          554
11:08:57                667.4          665
11:09:02                790.5          709
11:09:07                671.0          732
11:09:12                546.9          736
11:09:17                460.1          736
11:09:22                398.5          736
11:09:27                352.4          736
11:09:32                316.1          700
11:09:37                286.7          700
11:09:42                262.6          700
11:09:47                242.9          708
11:09:52                226.1          708
11:09:57                211.5          708
11:10:02                198.9          708
11:10:07                187.5          708
11:10:12                178.1          708
11:10:17                169.7          631
11:10:22                161.4          632
11:10:27                155.1          632
11:10:32                147.4          632
11:10:37                140.9          632
11:10:42                134.3          633
