# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
11:19:49                  4.5           44
11:19:54                  425          632
11:19:59                  242          781
11:20:04                  170          800
11:20:09                  133          816
11:20:14                  109          835
11:20:19                 95.4          849
11:20:24                 83.9          849
11:20:29                 75.2          849
11:20:34                 68.4          849
11:20:39                 63.0          849
11:20:44                 58.5          849
11:20:49                 54.8          850
11:20:54                 51.6          850
11:20:59                 48.8          850
11:21:04                 46.4          850
11:21:09                 44.3          850
11:21:14                 42.5          850
11:21:20                 40.8          850
11:21:25                 39.3          850
11:21:30                 38.0          850
11:21:35                 36.8          850
11:21:40                 35.7          850
11:21:45                 34.7          851
11:21:50                 34.1          812
11:21:55                 33.2          812
11:22:00                 32.4          812
11:22:05                 31.7          812
11:22:10                 31.0          812
11:22:15                 30.4          812
11:22:20                 29.8          812
11:22:25                 29.3          812
11:22:30                 28.7          812
11:22:35                 28.2          812
11:22:40                 27.8          812
11:22:45                 27.3          812
11:22:50                 26.9          812
11:22:55                 26.5          812
11:23:00                 26.1          812
11:23:05                 25.8          812
11:23:10                 25.7          758
11:23:15                 25.4          758
11:23:20                 25.1          758
11:23:25                 24.8          758
11:23:30                 24.5          758
11:23:35                 24.2          758
11:23:40                 24.0          758
11:23:45                 23.7          758
11:23:50                 23.5          758
11:23:55                 23.2          758
11:24:00                 23.0          758
11:24:05                 22.8          758
11:24:10                 22.6          758
11:24:15                 22.4          758
11:24:20                 22.2          758
11:24:25                 22.2          758
11:24:30                 22.1          758
11:24:35                 21.9          758
11:24:40                 21.7          758
11:24:45                 21.6          758
11:24:50                 21.4          758
11:24:55                 21.9          760
11:25:00                 21.7          760
11:25:05                 21.4          769
11:25:11                 21.2          783
11:25:16                 21.1          798
11:25:21                 20.9          815
11:25:26                 20.7          832
11:25:31                 20.5          850
11:25:36                 20.3          869
11:25:41                 20.2          890
11:25:46                 20.0          910
11:25:51                 20.0          929
11:25:56                 19.8          929
11:26:01                 19.7          929
11:26:06                 19.5          929
11:26:11                 19.4          929
11:26:16                 19.2          929
11:26:21                 19.1          929
11:26:26                 19.0          929
11:26:31                 18.8          929
11:26:36                 18.7          929
11:26:41                 18.6          929
11:26:46                 18.5          929
11:26:51                 18.3          929
11:26:56                 18.2          929
11:27:01                 18.1          929
11:27:06                 18.0          929
11:27:11                 18.0          848
11:27:16                 17.9          848
11:27:21                 17.8          848
11:27:26                 17.7          848
11:27:31                 17.6          848
11:27:36                 17.5          849
11:27:41                 17.4          849
11:27:46                 17.3          851
11:27:51                 17.2          851
11:27:56                 17.1          851
11:28:01                 17.1          851
11:28:06                 17.0          851
11:28:11                 16.9          851
11:28:16                 16.7          851
11:28:21                 16.6          851
11:28:26                 16.4          851
11:28:31                 16.3          851
11:28:36                 16.1          851
11:28:41                 16.0          851
11:28:46                 15.8          851
11:28:51                 15.7          851
11:28:56                 15.6          851
11:29:01                 15.4          851
11:29:07                 15.3          853
11:29:12                 15.3          852
11:29:17                 15.1          852
11:29:22                 15.0          852
11:29:27                 14.9          852
11:29:32                 14.8          852
11:29:37                 14.7          852
11:29:42                 14.5          852
11:29:47                 14.4          852
