# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:13:57                 17.5           58
11:14:02                  107          117
11:14:07                  112          126
11:14:12                  116          143
11:14:17                  120          159
11:14:22                  118          179
11:14:27                  116          206
11:14:32                  110          223
11:14:37                  103          225
11:14:42                 92.5          226
11:14:47                 83.9          230
11:14:52                 79.1          233
11:14:57                 75.6          236
11:15:02                 72.4          230
11:15:07                 69.8          232
11:15:12                 66.0          231
11:15:17                 62.1          231
11:15:22                 58.6          231
11:15:27                 55.4          231
11:15:32                 52.6          231
11:15:37                 50.1          231
11:15:42                 49.0          233
11:15:47                 48.3          234
11:15:52                 47.7          237
