# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:18:00                 80.0          260
11:18:05                  725          895
11:18:10                  937         1524
11:18:15                  873         1705
11:18:20                  833         1707
11:18:25                  815         1784
11:18:30                  801         1906
11:18:35                  799         2049
11:18:40                  796         2134
11:18:45                  798         2289
11:18:50                  802         2402
11:18:56                  801         2521
11:19:01                  795         2600
11:19:06                  794         2766
11:19:11                  791         2818
11:19:16                  789         2874
11:19:21                  784         3049
11:19:26                  762         3209
11:19:31                  740         3258
11:19:36                  721         3302
11:19:41                  703         3345
11:19:46                  685         3474
11:19:51                  667         3659
11:19:56                  647         3660
11:20:01                  631         3730
11:20:06                  612         3730
11:20:11                  594         3730
11:20:16                  581         3801
11:20:21                  566         3801
11:20:26                  551         3801
11:20:31                  536         3808
11:20:36                  524         3890
11:20:41                  511         3890
11:20:47                  498         3890
11:20:52                  485         3890
11:20:57                  474         3956
11:21:02                  465         4021
11:21:07                  455         4021
11:21:12                  445         4021
11:21:17                  436         4021
11:21:22                  430         4028
11:21:27                  421         4028
11:21:32                  413         4028
11:21:37                  406         4028
11:21:42                  398         4028
11:21:47                  393         4046
11:21:52                  386         4046
11:21:57                  379         4046
11:22:02                  373         4046
11:22:07                  367         4046
11:22:12                  364         4047
11:22:17                  358         4047
11:22:22                  353         4047
11:22:27                  348         4047
11:22:32                  343         4047
11:22:37                  339         4047
11:22:42                  335         4047
11:22:47                  330         4047
11:22:52                  326         4047
11:22:58                  322         4047
