# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:18:00                 11.0           60
11:18:05                  102          376
11:18:10                  263          580
11:18:15                  431          609
11:18:20                  517          616
11:18:25                  565          620
11:18:30                  595          630
11:18:35                  614          634
11:18:40                  630          644
11:18:45                  641          649
11:18:50                  648          657
11:18:56                  654          671
11:19:01                  661          681
11:19:06                  667          685
11:19:11                  671          708
11:19:16                  674          708
11:19:21                  678          724
11:19:26                  690          726
11:19:31                  702          741
11:19:36                  713          741
11:19:41                  724          751
11:19:46                  735          757
11:19:51                  746          757
11:19:56                  758          772
11:20:01                  769          772
11:20:06                  781          774
11:20:11                  791          771
11:20:16                  800          772
11:20:21                  809          774
11:20:26                  810          771
11:20:31                  783          771
11:20:36                  759          771
11:20:41                  735          771
11:20:47                  714          771
11:20:52                  693          771
11:20:57                  674          771
11:21:02                  655          771
11:21:07                  638          771
11:21:12                  621          771
11:21:17                  606          771
11:21:22                  591          771
11:21:27                  577          771
11:21:32                  563          771
11:21:37                  550          771
11:21:42                  538          771
11:21:47                  526          771
11:21:52                  515          771
11:21:57                  504          771
11:22:02                  494          771
11:22:07                  484          771
11:22:12                  474          771
11:22:17                  465          771
11:22:22                  456          771
11:22:27                  448          709
11:22:32                  440          709
11:22:37                  432          709
11:22:42                  424          709
11:22:47                  417          709
11:22:52                  410          709
11:22:58                  403          709
