# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:37:08                102.5          506
11:37:13                995.5         1630
11:37:18               1409.3         3043
11:37:23               1603.6         4096
11:37:28               1725.3         5527
11:37:33               1812.1         6417
11:37:38               1871.9         7406
11:37:43               1926.6         8972
11:37:48               1958.0        10021
11:37:53               1960.7        11453
11:37:58               1937.2        12029
11:38:03               1919.7        12485
11:38:08               1905.1        12740
11:38:13               1888.3        12804
11:38:19               1874.1        12978
11:38:24               1861.3        13074
11:38:29               1852.5        13158
11:38:34               1845.2        13167
11:38:39               1832.2        13402
11:38:44               1825.8        13663
11:38:49               1817.8        13710
11:38:54               1811.7        13952
11:38:59               1806.6        14071
11:39:04               1798.8        14276
11:39:09               1792.6        14381
11:39:14               1788.3        14587
11:39:19               1782.2        14667
11:39:24               1776.7        14676
11:39:29               1775.3        14795
11:39:35               1769.3        14949
11:39:40               1767.2        15171
11:39:45               1762.0        15235
11:39:50               1759.7        15385
11:39:55               1754.4        15325
11:40:00               1749.7        15019
11:40:05               1756.0        15121
11:40:10               1761.8        15204
11:40:15               1767.0        15419
11:40:20               1776.0        15529
11:40:25               1780.0        15620
11:40:30               1784.0        15684
11:40:35               1786.0        15697
11:40:40               1789.0        15863
11:40:45               1795.0        17148
11:40:50               1800.0        17027
11:40:56               1805.0        17088
11:41:01               1808.0        17106
11:41:06               1812.0        16427
11:41:11               1816.0        16507
11:41:16               1819.0        16497
11:41:21               1822.0        16532
11:41:26               1826.0        16558
11:41:31               1827.0        16762
11:41:36               1831.0        16844
11:41:41               1834.0        16854
11:41:46               1838.0        16863
11:41:51               1841.0        16878
11:41:56               1844.0        17006
11:42:01               1845.0        17023
11:42:06               1850.0        17973
11:42:11               1854.0        17861
11:42:16               1858.0        18186
11:42:22               1860.0        18198
11:42:27               1859.0        18206
11:42:32               1856.0        18176
11:42:37               1862.0        18571
11:42:42               1859.0        18682
11:42:47               1854.0        18686
11:42:52               1852.0        18765
11:42:57               1848.0        18971
11:43:02               1849.0        18928
11:43:07               1848.0        18914
11:43:12               1846.0        18920
11:43:17               1844.0        19146
11:43:22               1844.0        19154
11:43:27               1844.9        19165
11:43:33               1845.6        19145
11:43:38               1846.2        18893
11:43:43               1846.0        18900
11:43:48               1845.6        18907
11:43:53               1846.3        18914
11:43:58               1847.0        18905
11:44:03               1846.9        19086
11:44:08               1849.0        19296
11:44:13               1850.6        19256
11:44:18               1850.4        19272
11:44:23               1854.1        19176
11:44:28               1853.9        19159
11:44:33               1855.6        19254
11:44:38               1857.3        19260
11:44:43               1858.0        19269
11:44:48               1858.7        19441
11:44:53               1860.4        19465
11:44:58               1860.1        19162
11:45:04               1861.8        19169
11:45:09               1862.5        19176
11:45:14               1862.2        19185
11:45:19               1863.9        19189
11:45:24               1864.6        19196
11:45:29               1866.3        19206
11:45:34               1865.1        19213
11:45:39               1866.8        19262
11:45:44               1868.5        19238
11:45:49               1867.3        19252
11:45:54               1869.0        19258
11:45:59               1870.8        19267
11:46:04               1869.4        19276
11:46:09               1871.2        19286
11:46:14               1871.0        19306
11:46:19               1870.8        19314
11:46:24               1871.5        19316
11:46:30               1873.3        19325
11:46:35               1873.0        19324
11:46:40               1873.8        19336
11:46:45               1873.5        19345
11:46:50               1874.3        19356
