# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:37:08                  1.2           58
11:37:13                 44.3          219
11:37:18                 44.3          226
11:37:23                 44.6          236
11:37:28                 45.3          241
11:37:33                 51.1          280
11:37:38                 53.9          288
11:37:43                 55.6          293
11:37:48                 59.0          305
11:37:53                 70.7          793
11:37:58                 72.2         1064
11:38:03                 71.7         1064
11:38:08                 73.1         1080
11:38:13                 74.3         1081
11:38:19                 82.1         1156
11:38:24                 82.3         1173
11:38:29                 82.5         1173
11:38:34                 85.2         1173
11:38:39                 89.2         1325
11:38:44                 87.8         1325
11:38:49                 87.8         1325
11:38:54                 87.7         1326
11:38:59                 86.6         1326
11:39:04                 86.8         1326
11:39:09                 89.6         1338
11:39:14                 92.3         1432
11:39:19                 92.2         1432
11:39:24                 91.7         1432
11:39:29                 95.3         1476
11:39:35                 94.3         1576
11:39:40                 94.2         1620
11:39:45                 93.0         1620
11:39:50                 93.7         1641
11:39:55                 97.4         1703
11:40:00                 96.7         1703
11:40:05                  100         1747
11:40:10                 99.8         1747
11:40:15                  100         1857
11:40:20                  104         1946
11:40:25                  105         1946
11:40:30                  105         1994
11:40:35                  106         1994
11:40:40                  105         1994
11:40:45                  106         2009
11:40:50                  108         2055
11:40:56                  110         2095
11:41:01                  112         2096
11:41:06                  112         2096
11:41:11                  115         2157
11:41:16                  116         2161
11:41:21                  118         2186
11:41:26                  119         2200
11:41:31                  119         2200
11:41:36                  119         2200
11:41:41                  121         2200
11:41:46                  123         2200
11:41:51                  123         2200
11:41:56                  125         2200
11:42:01                  127         2201
11:42:06                  128         2201
11:42:11                  129         2201
11:42:16                  130         2201
11:42:22                  130         2201
11:42:27                  131         2201
11:42:32                  130         2201
11:42:37                  131         2325
11:42:42                  130         2325
11:42:47                  129         2326
11:42:52                  129         2326
11:42:57                  128         2326
11:43:02                  128         2326
11:43:07                  127         2326
11:43:12                  127         2326
11:43:17                  129         2410
11:43:22                  131         2411
11:43:27                  134         2411
11:43:33                  135         2411
11:43:38                  137         2411
11:43:43                  140         2411
11:43:48                  142         2411
11:43:53                  144         2411
11:43:58                  146         2411
11:44:03                  147         2411
11:44:08                  150         2411
11:44:13                  153         2411
11:44:18                  155         2411
11:44:23                  158         2411
11:44:28                  160         2411
11:44:33                  162         2411
11:44:38                  165         2411
11:44:43                  167         2411
11:44:48                  169         2411
11:44:53                  172         2411
11:44:58                  174         2411
11:45:04                  176         2411
11:45:09                  178         2411
11:45:14                  180         2411
11:45:19                  182         2411
11:45:24                  184         2411
11:45:29                  186         2411
11:45:34                  187         2411
11:45:39                  189         2411
11:45:44                  191         2411
11:45:49                  192         2412
11:45:54                  194         2412
11:45:59                  196         2412
11:46:04                  197         2412
11:46:09                  199         2412
11:46:14                  201         2412
11:46:19                  202         2412
11:46:24                  204         2412
11:46:30                  205         2412
11:46:35                  207         2412
11:46:40                  208         2412
11:46:45                  209         2412
11:46:50                  211         2412
11:46:55                  212         2412
11:47:00                  213         2412
11:47:05                  214         2412
11:47:10                  216         2412
11:47:15                  217         2412
11:47:20                  218         2412
11:47:25                  220         2412
11:47:30                  221         2412
11:47:35                  222         2412
11:47:40                  223         2412
11:47:45                  225         2412
11:47:50                  226         2412
11:47:56                  227         2412
11:48:01                  229         2412
11:48:06                  230         2412
11:48:11                  231         2412
11:48:16                  232         2412
11:48:21                  233         2412
11:48:26                  234         2416
11:48:31                  236         2420
11:48:36                  237         2467
11:48:41                  237         2494
11:48:46                  238         2494
11:48:51                  238         2494
11:48:57                  240         2494
11:49:02                  241         2494
11:49:07                  242         2494
11:49:12                  243         2539
11:49:17                  244         2602
11:49:22                  244         2629
11:49:27                  245         2629
11:49:32                  246         2629
11:49:37                  246         2650
11:49:42                  247         2691
11:49:47                  248         2691
11:49:53                  248         2695
11:49:58                  249         2712
11:50:03                  249         2737
11:50:08                  249         2747
11:50:13                  250         2747
11:50:18                  251         2756
11:50:23                  251         2768
11:50:28                  252         2798
11:50:34                  252         2809
11:50:39                  253         2844
11:50:44                  254         2844
11:50:49                  255         2897
11:50:54                  256         2934
11:50:59                  257         3028
11:51:04                  257         3107
11:51:09                  257         3108
11:51:14                  257         3108
11:51:19                  257         3120
11:51:24                  258         3120
11:51:29                  258         3120
11:51:34                  259         3120
11:51:39                  259         3144
11:51:45                  260         3144
11:51:50                  260         3204
11:51:55                  261         3279
11:52:00                  261         3332
11:52:05                  261         3332
11:52:10                  262         3332
11:52:15                  263         3440
11:52:20                  263         3443
11:52:25                  264         3449
11:52:30                  265         3524
11:52:35                  265         3584
11:52:40                  265         3659
11:52:45                  266         3659
11:52:51                  267         3659
11:52:56                  267         3675
11:53:01                  267         3675
11:53:06                  268         3684
11:53:11                  268         3684
11:53:16                  269         3684
11:53:21                  269         3778
11:53:26                  269         3780
11:53:31                  270         3780
11:53:36                  270         3780
11:53:41                  270         3809
11:53:47                  270         3836
11:53:52                  270         3836
11:53:57                  270         3836
11:54:02                  270         3849
11:54:07                  270         3855
11:54:12                  270         3855
11:54:17                  271         3855
11:54:22                  271         3855
11:54:27                  272         3855
11:54:32                  273         3855
11:54:37                  273         3855
11:54:42                  273         3855
11:54:47                  274         3855
11:54:53                  274         3855
11:54:58                  274         3855
11:55:03                  274         3855
11:55:08                  275         3855
11:55:13                  275         3861
11:55:18                  276         3887
11:55:23                  276         4064
11:55:28                  277         4065
11:55:33                  277         4065
11:55:38                  277         4065
11:55:43                  277         4066
11:55:49                  278         4066
11:55:54                  278         4066
11:55:59                  279         4066
11:56:04                  280         4066
11:56:09                  280         4066
11:56:14                  280         4066
11:56:19                  280         4066
11:56:24                  281         4066
11:56:29                  282         4066
11:56:34                  282         4066
11:56:39                  282         4066
11:56:44                  283         4088
11:56:49                  283         4088
11:56:54                  284         4088
11:57:00                  284         4088
11:57:05                  284         4100
