# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:59:11                  8.9           68
11:59:16                  229          375
11:59:21                  324          605
11:59:26                  376          847
11:59:31                  412         1057
11:59:36                  438         1325
11:59:41                  452         2233
11:59:46                  417         2260
11:59:51                  392         2364
11:59:56                  373         2737
12:00:01                  352         2792
12:00:06                  345         3436
12:00:11                  334         3723
12:00:16                  318         3726
12:00:21                  309         3834
12:00:27                  296         3834
12:00:32                  291         4009
12:00:37                  282         4013
12:00:42                  273         4013
12:00:47                  269         4014
12:00:52                  261         4014
12:00:57                  254         4014
12:01:02                  253         4034
12:01:07                  250         4082
12:01:12                  245         4086
12:01:17                  240         4151
12:01:22                  238         4271
12:01:27                  238         4272
12:01:32                  233         4278
12:01:37                  229         4278
12:01:42                  228         4577
12:01:47                  225         4577
12:01:52                  225         4580
12:01:57                  222         4584
12:02:03                  218         4584
12:02:08                  216         4738
12:02:13                  215         4749
12:02:18                  213         4757
12:02:23                  213         4759
12:02:28                  211         4759
12:02:33                  208         4763
12:02:38                  208         4778
12:02:43                  206         4778
12:02:48                  208         5710
12:02:53                  207         5558
12:02:58                  205         5559
12:03:03                  203         5561
12:03:08                  204         5195
12:03:13                  207         6500
12:03:18                  213         6639
12:03:23                  220         6691
12:03:29                  225         6729
12:03:34                  233         6754
12:03:39                  238         6774
12:03:44                  244         6796
12:03:49                  248         6826
12:03:54                  252         6850
12:03:59                  257         6886
12:04:04                  262         6910
12:04:09                  266         6942
12:04:14                  271         6942
12:04:20                  275         6943
12:04:25                  277         6971
12:04:30                  281         6973
12:04:35                  283         6658
12:04:40                  284         6638
12:04:45                  288         6639
12:04:50                  285         6639
12:04:55                  286         6583
12:05:00                  290         6583
12:05:05                  292         6583
12:05:10                  295         6583
12:05:15                  299         6583
12:05:20                  302         6583
12:05:25                  305         6583
12:05:31                  308         6585
12:05:36                  311         6585
12:05:41                  313         6624
12:05:46                  317         6624
12:05:51                  320         6624
12:05:56                  323         6624
12:06:01                  324         6624
12:06:06                  326         6627
12:06:11                  329         6642
12:06:16                  330         6644
12:06:21                  332         6677
12:06:26                  333         6677
12:06:32                  334         6753
12:06:37                  336         6777
12:06:42                  336         6781
12:06:47                  333         7028
12:06:52                  335         6883
12:06:57                  336         6890
12:07:02                  337         6892
12:07:07                  339         6902
12:07:12                  341         6902
12:07:17                  342         6910
12:07:22                  344         7032
12:07:27                  347         7044
12:07:33                  349         7044
12:07:38                  350         7044
12:07:43                  352         7044
12:07:48                  354         7044
12:07:53                  356         7044
12:07:58                  358         7044
12:08:03                  359         7044
12:08:08                  360         7044
12:08:13                  362         7044
12:08:18                  363         7044
12:08:23                  364         7045
12:08:28                  366         7045
12:08:33                  367         7047
12:08:39                  369         7048
12:08:44                  370         7048
12:08:49                  370         7048
12:08:54                  371         7048
12:08:59                  371         7048
12:09:04                  372         7048
12:09:09                  373         7048
12:09:14                  372         7048
12:09:19                  372         7048
12:09:24                  370         7048
12:09:29                  368         7048
12:09:34                  367         7048
12:09:39                  366         7048
12:09:45                  366         7049
12:09:50                  367         7058
12:09:55                  367         7074
12:10:00                  369         7112
12:10:05                  370         7121
12:10:10                  369         6932
12:10:15                  367         7034
12:10:20                  365         7335
12:10:25                  363         7343
12:10:30                  362         7354
12:10:35                  361         6448
12:10:40                  359         6448
12:10:46                  360         8008
12:10:51                  360         7772
12:10:56                  359         7772
12:11:01                  358         7298
12:11:06                  357         7298
12:11:11                  356         7298
12:11:16                  354         7387
12:11:21                  353         7466
12:11:26                  354         8222
12:11:31                  355         8120
12:11:36                  354         8141
12:11:41                  355         8144
12:11:47                  355         8148
12:11:52                  356         8135
12:11:57                  357         8136
12:12:02                  356         8163
12:12:07                  357         8190
12:12:12                  357         8190
12:12:17                  357         8060
12:12:22                  358         8054
12:12:27                  359         8054
12:12:32                  359         8054
12:12:37                  360         8059
12:12:43                  361         8060
12:12:48                  361         8061
12:12:53                  362         8086
12:12:58                  362         8100
12:13:03                  363         8123
12:13:08                  363         8161
12:13:13                  363         8162
12:13:18                  364         8163
12:13:23                  364         8164
12:13:28                  365         8164
12:13:33                  365         8164
12:13:38                  366         8176
12:13:44                  366         7589
12:13:49                  367         7590
12:13:54                  367         7591
12:13:59                  367         7591
12:14:04                  367         7604
12:14:09                  368         7604
12:14:14                  367         7604
12:14:19                  368         7617
12:14:24                  366         7619
12:14:29                  365         7621
12:14:34                  365         7621
12:14:39                  364         7621
12:14:44                  365         7624
12:14:49                  366         7625
12:14:54                  366         7625
12:15:00                  366         7625
12:15:05                  365         7625
12:15:10                  366         7517
12:15:15                  366         7519
12:15:20                  364         7601
12:15:25                  363         6909
12:15:30                  362         6927
12:15:35                  361         7153
12:15:40                  360         7154
12:15:45                  360         7591
12:15:50                  361         7592
12:15:55                  362         7602
12:16:01                  362         7617
12:16:06                  363         7618
12:16:11                  363         7647
12:16:16                  364         7647
12:16:21                  364         7675
12:16:26                  365         7680
12:16:31                  365         7698
12:16:36                  366         7699
12:16:42                  366         7704
12:16:47                  367         7705
12:16:52                  368         7705
12:16:57                  366         7705
12:17:02                  366         7275
12:17:07                  365         7369
12:17:12                  364         7424
12:17:17                  363         7424
12:17:22                  361         7431
12:17:27                  361         7431
12:17:32                  360         7431
12:17:37                  359         7431
12:17:43                  358         7431
12:17:48                  359         7512
12:17:53                  358         7512
12:17:58                  358         7512
12:18:03                  357         7512
12:18:08                  357         7512
12:18:13                  357         7557
12:18:18                  356         7557
12:18:23                  357         7557
12:18:28                  357         7560
12:18:33                  358         7562
12:18:38                  358         7563
12:18:44                  358         7564
12:18:49                  359         7564
12:18:54                  359         7564
12:18:59                  360         7565
12:19:04                  361         7569
12:19:09                  361         7570
12:19:14                  360         7570
12:19:19                  360         7570
12:19:24                  359         7570
12:19:29                  359         7572
12:19:34                  358         7572
12:19:39                  357         7572
12:19:44                  356         7573
12:19:49                  357         7578
12:19:55                  357         7589
12:20:00                  357         7435
12:20:05                  356         7451
12:20:10                  355         7453
12:20:15                  355         7454
12:20:20                  355         7456
12:20:25                  355         7472
12:20:30                  355         7481
12:20:35                  355         7481
12:20:41                  356         7481
12:20:46                  356         7494
12:20:51                  356         7497
12:20:56                  356         7497
12:21:01                  357         7497
12:21:06                  357         7498
12:21:11                  358         7498
12:21:16                  358         7498
12:21:21                  358         7529
12:21:26                  358         7529
12:21:31                  358         7532
12:21:36                  357         7532
12:21:41                  357         7532
12:21:46                  357         7533
12:21:52                  357         7534
12:21:57                  357         7535
12:22:02                  358         7536
12:22:07                  358         7538
12:22:12                  358         7539
12:22:17                  359         7540
12:22:22                  359         7541
12:22:27                  359         7541
12:22:32                  359         7542
12:22:38                  360         7543
12:22:43                  360         7547
12:22:48                  361         7554
12:22:53                  361         7556
12:22:58                  361         7222
12:23:03                  361         7348
12:23:08                  360         7358
12:23:13                  359         7358
12:23:18                  359         7359
12:23:23                  358         7359
12:23:28                  358         7413
12:23:33                  358         7413
12:23:39                  357         7413
12:23:44                  357         7415
12:23:49                  357         7416
12:23:54                  357         7419
12:23:59                  356         7419
12:24:04                  356         7419
12:24:09                  356         7420
12:24:14                  356         7421
12:24:19                  355         7422
12:24:24                  354         7422
12:24:29                  354         7423
12:24:34                  353         7424
12:24:39                  352         7424
12:24:45                  352         7424
12:24:50                  351         7425
12:24:55                  352         7426
12:25:00                  352         7428
12:25:05                  352         7429
12:25:10                  352         7432
12:25:15                  352         7453
12:25:20                  352         7453
12:25:25                  352         7454
12:25:30                  352         7455
12:25:35                  352         7455
12:25:40                  352         7455
12:25:46                  352         7455
12:25:51                  353         7456
12:25:56                  352         7457
12:26:01                  353         7457
12:26:06                  353         7457
12:26:11                  353         7458
12:26:16                  354         7458
12:26:21                  354         7458
12:26:26                  354         7458
12:26:31                  355         7459
12:26:37                  356         7459
12:26:42                  356         7459
12:26:47                  357         7459
12:26:52                  357         7459
12:26:57                  357         7460
12:27:02                  357         7461
12:27:07                  357         7462
12:27:12                  358         7463
12:27:18                  358         7463
12:27:23                  358         7464
12:27:28                  359         7464
12:27:33                  359         7465
12:27:38                  359         7466
12:27:43                  359         7466
12:27:48                  360         7466
12:27:53                  360         7477
12:27:59                  360         7487
12:28:04                  361         7497
12:28:09                  361         7501
12:28:14                  362         7502
12:28:19                  362         7502
12:28:24                  361         7502
12:28:30                  360         7502
12:28:35                  359         7502
12:28:40                  358         7503
12:28:45                  357         7548
12:28:50                  357         7059
12:28:55                  357         7469
12:29:00                  357         7469
12:29:05                  357         7509
12:29:10                  358         7525
