# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
11:08:47                 39.1           68
11:08:52                  458          338
11:08:57                  608          449
11:09:02                  746          492
11:09:07                  635          501
11:09:12                  516          488
11:09:17                  433          488
11:09:22                  374          488
11:09:27                  330          488
11:09:32                  295          488
11:09:37                  267          488
11:09:42                  244          489
11:09:47                  225          496
11:09:52                  209          496
11:09:57                  195          496
11:10:02                  183          496
11:10:07                  172          496
11:10:12                  163          496
11:10:17                  155          419
11:10:22                  147          419
11:10:27                  141          419
11:10:32                  134          419
11:10:37                  128          419
11:10:42                  122          419
