# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
11:12:48                  6.4           47
11:12:53                  225          395
11:12:58                  129          401
11:13:03                 92.6          420
11:13:08                 73.4          438
11:13:13                 62.4          448
11:13:18                 54.3          448
11:13:23                 48.4          449
11:13:28                 44.0          449
11:13:33                 40.5          449
11:13:38                 37.6          449
11:13:43                 35.3          449
11:13:48                 33.4          449
11:13:53                 31.7          449
11:13:58                 30.7          433
11:14:03                 29.4          433
11:14:08                 28.4          433
11:14:13                 27.2          433
11:14:18                 26.2          433
11:14:23                 25.3          433
11:14:28                 24.4          433
11:14:33                 23.9          418
11:14:38                 23.2          418
11:14:43                 22.5          418
11:14:48                 21.9          418
11:14:53                 21.4          418
11:14:58                 20.9          418
11:15:03                 20.4          418
11:15:09                 20.0          418
11:15:14                 19.7          418
11:15:19                 19.3          418
11:15:24                 19.0          418
11:15:29                 18.6          418
11:15:34                 18.3          418
11:15:39                 18.0          418
11:15:44                 17.8          418
11:15:49                 17.5          418
11:15:54                 17.4          418
11:15:59                 17.2          419
11:16:04                 17.0          419
11:16:09                 16.8          419
11:16:14                 16.6          419
11:16:19                 16.4          419
11:16:24                 16.2          419
11:16:29                 16.1          419
11:16:34                 15.9          419
11:16:39                 15.9          419
11:16:44                 15.7          419
11:16:49                 15.6          419
11:16:54                 15.4          419
11:16:59                 15.3          424
11:17:04                 15.0          424
11:17:09                 14.7          436
11:17:14                 14.5          436
11:17:19                 14.2          449
11:17:24                 14.0          449
11:17:29                 13.8          451
11:17:34                 13.5          451
11:17:39                 13.3          451
11:17:44                 13.1          453
